,时间,所在产地,价格,产品/品种,【计算使用】
0,2020-02-25,山东泰安市肥城市,1.65元/斤,荷兰15号土豆,1.65
1,2020-02-25,山东济南市平阴县,1.5元/斤,黄心土豆,1.5
2,2020-02-25,山东枣庄市滕州市,1.1元/斤,迷你土豆,1.1
3,2020-02-25,山东枣庄市滕州市,1.6元/斤,滕州土豆,1.6
4,2020-02-25,山东济南市平阴县,0.9元/斤,威宁土豆,0.9
5,2020-02-25,山东青岛市胶州市,1.13元/斤,荷兰7号土豆,1.13
6,2020-02-25,山东泰安市肥城市,1.4元/斤,荷兰五号,1.4
7,2020-02-25,山东聊城市阳谷县,19.9元/箱,黑土豆,
8,2020-02-25,山东泰安市肥城市,1.35元/斤,超荷15,1.35
9,2020-02-25,山东青岛市胶州市,1.3元/斤,荷兰14土豆,1.3
10,2020-02-25,山东菏泽市牡丹区,1.38元/斤,荷兰806马铃薯,1.38
11,2020-02-25,山东济南市平阴县,0.7元/斤,威芋5号,0.7
12,2020-02-25,山东济宁市泗水县,0.9元/斤,大西洋土豆,0.9
13,2020-02-25,山东临沂市兰山区,1.5元/斤,希森3号,1.5
